Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
Device Protection Plan,"A binary indicator showing whether a customer has subscribed to device insurance or protection coverage.","This type represents subscription status for device protection services using binary values. Values indicate whether customers have opted for additional device insurance or warranty coverage beyond standard terms.","This type represents subscription status for device protection services using binary values. Values indicate whether customers have opted for additional device insurance or warranty coverage beyond standard terms.","This type contains binary values following the pattern ^[01]$ indicating device protection subscription status. The pattern matches single digits where values represent protection plan enrollment decisions.","insurance option: device coverage subscription status",0; 1,-1; 2; Yes,Protection Plan;Device Insurance Opt‑In,Warranty Plan;Service Coverage
Internet Service,"A binary indicator showing whether a customer has subscribed to internet connectivity services.","This type represents internet service subscription status using binary values. Values indicate whether customers have active internet service plans as part of their telecommunications package.","This type represents internet service subscription status using binary values. Values indicate whether customers have active internet service plans as part of their telecommunications package.","This type contains binary values following the pattern ^[01]$ indicating internet service subscription status. The pattern matches single digits representing internet connectivity service enrollment.","connectivity service: internet subscription indicator",0; 1,-1; 2; Yes,Has Internet;Internet Service,TV Service;Phone Service
Internet Type,"The technology type used to deliver internet connectivity services to the customer's location.","This type captures internet connection technology categories that specify the infrastructure method used for service delivery. Values are predefined technology names representing different internet access methods and transmission technologies.","This type captures internet connection technology categories that specify the infrastructure method used for service delivery. Values are predefined technology names representing different internet access methods and transmission technologies.","This type contains categorical text values representing internet technology types, following telecommunications infrastructure terminology patterns. The pattern matches standardized technology names used for internet service classification.","connection technology: internet delivery method type",Fiber Optic; DSL; Cable,Old; New; 1,Connection Type;Internet Plan,Subscription Tier;Service Type
Married,"A binary indicator showing whether a customer is married or in a committed partnership.","This type represents marital status using binary values for demographic classification purposes. Values indicate whether customers are married or single for household and billing analysis.","This type represents marital status using binary values for demographic classification purposes. Values indicate whether customers are married or single for household and billing analysis.","This type contains binary values following the pattern ^[01]$ representing marital status classification. The pattern matches single digits where values typically indicate unmarried or married status for demographic profiling.","marital status: partnership commitment indicator",0; 1,-1; 2; Yes,Marital Status;Is Married,Spouse Name;Family Size
Monthly Charge,"The recurring monthly billing amount charged to a customer for their telecommunications services.","This type represents regular monthly billing amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the recurring charges for telecommunications service packages.","This type represents regular monthly billing amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the recurring charges for telecommunications service packages.","This type contains decimal monetary values representing monthly billing charges, following currency formatting patterns. The pattern matches positive decimal numbers used for recurring telecommunications service billing.","billing amount: recurring monthly service fee",4; 6.7; 45.4,-1; 0; None,Monthly Billing Amount;Monthly Charge ($),Total Charge;Charge Date
Offer,"A promotional plan or special deal identifier provided to customers for service discounts or benefits.","This type captures promotional offer designations using standardized offer codes or names. Values are categorical identifiers that represent specific marketing campaigns or promotional deals available to customers.","This type captures promotional offer designations using standardized offer codes or names. Values are categorical identifiers that represent specific marketing campaigns or promotional deals available to customers.","This type contains categorical offer identifiers following standardized promotional naming patterns. The pattern matches predefined offer codes used for marketing campaign tracking and promotional benefit assignment.","promotion code: special deal assignment identifier",Offer A; Offer B; Offer F,1; 2; Offer G ,Offer Name;Promotion Plan,Offer Code;Discount Tier
Online Backup,"A binary indicator showing whether a customer has subscribed to cloud-based data backup services.","This type represents subscription status for online backup services using binary values. Values indicate whether customers have opted for cloud storage and data backup solutions as part of their service package.","This type represents subscription status for online backup services using binary values. Values indicate whether customers have opted for cloud storage and data backup solutions as part of their service package.","This type contains binary values following the pattern ^[01]$ indicating online backup service subscription status. The pattern matches single digits representing cloud backup service enrollment decisions.","cloud storage: backup service subscription indicator",0; 1,-1; 2; Yes,Backup Subscription;Has Online Backup,Online Backup Date;Backup Size
Payment Method,"The billing and payment processing method selected by a customer for their account charges.","This type captures payment method categories that specify how customers prefer to settle their telecommunications bills. Values are predefined payment type names representing different billing and payment processing options.","This type captures payment method categories that specify how customers prefer to settle their telecommunications bills. Values are predefined payment type names representing different billing and payment processing options.","This type contains categorical text values representing payment method types, following standardized billing terminology patterns. The pattern matches predefined payment options used for customer billing and account management.","billing method: preferred payment processing type",Bank Withdrawl; Credit Card ,Bitcoin; 0; 1,Payment Type;Billing Method,Payment Date;Payment Amount
Quarter,"A fiscal or calendar quarter designation used for business reporting and analysis periods.","This type represents quarterly time periods using standardized quarter designations for business reporting cycles. Values are categorical labels that specify three-month business periods within annual reporting frameworks.","This type represents quarterly time periods using standardized quarter designations for business reporting cycles. Values are categorical labels that specify three-month business periods within annual reporting frameworks.","This type contains categorical quarter identifiers following the pattern Q[1-4], representing standardized quarterly reporting periods. The pattern matches quarter designations used for business cycle analysis and reporting.","reporting period: quarterly business cycle designation",Q1; Q2; Q4,1; 2; Four ,Fiscal Quarter;Reporting Quarter,Month;Half‑Year
Satisfaction Score,"A numerical rating indicating a customer's satisfaction level with telecommunications services and support.","This type represents customer satisfaction measurements using numerical rating scales for service quality assessment. Values are typically scored within defined satisfaction ranges using positive integer ratings.","This type represents customer satisfaction measurements using numerical rating scales for service quality assessment. Values are typically scored within defined satisfaction ranges using positive integer ratings.","This type contains integer values representing satisfaction ratings, following rating scale patterns for customer feedback measurement. The pattern matches numerical scores used for service quality evaluation and customer experience tracking.","feedback rating: service satisfaction measurement score",1; 2; 5,-1; 0; 6,	Customer_Satisfaction_Score; Sat_Score,SatisfactionLevel; Survey_Response
Total Charges,"The cumulative billing amount charged to a customer across all telecommunications services and time periods.","This type represents aggregate billing amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total accumulated charges for telecommunications services over customer lifecycle.","This type represents aggregate billing amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total accumulated charges for telecommunications services over customer lifecycle.","This type contains decimal monetary values representing cumulative billing charges, following currency formatting patterns. The pattern matches positive decimal numbers used for total service billing accumulation and account summaries.","billing total: accumulated service charges amount",4; 6.7; 45.4,-1; Four; None,Total_Charges; Charges_Total	,Payment_Method; Billing_Cycle
Total Refunds,"The cumulative amount of refunds or credits issued to a customer for telecommunications service adjustments.","This type represents aggregate refund amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total refunds or billing credits provided to customers for service issues.","This type represents aggregate refund amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total refunds or billing credits provided to customers for service issues.","This type contains decimal monetary values representing cumulative refund amounts, following currency formatting patterns. The pattern matches positive decimal numbers used for refund tracking and customer credit management.","credit amount: total refunds issued to customer",4; 6.7; 45.4,-1; Four; None,Total_Refunds; Refund_Amount	,Refund_Status; Refund_Count
Total Revenue,"The cumulative revenue amount generated by a customer through their telecommunications service subscriptions.","This type represents aggregate revenue amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total revenue contribution from individual customer accounts over time.","This type represents aggregate revenue amounts expressed as monetary values in the business currency. Values are positive decimal numbers indicating the total revenue contribution from individual customer accounts over time.","This type contains decimal monetary values representing cumulative revenue amounts, following currency formatting patterns. The pattern matches positive decimal numbers used for revenue tracking and customer value analysis.","income total: cumulative customer revenue generated",4; 6.7; 4150.4,-1; Four; None,Total_Revenue; Revenue_Total	,Revenue_Category; Rev_Source
Under 30,"A binary indicator showing whether a customer is under 30 years of age for demographic segmentation.","This type represents age-based demographic classification using binary values for customer segmentation purposes. Values indicate whether customers fall within the under-30 age demographic category for marketing and service targeting.","This type represents age-based demographic classification using binary values for customer segmentation purposes. Values indicate whether customers fall within the under-30 age demographic category for marketing and service targeting.","This type contains binary values following the pattern ^[01]$ representing age demographic classification. The pattern matches single digits where values indicate age-based customer segmentation for demographic analysis.","age group: young demographic classification indicator",0; 1,-1; 2; Yes,Under_30; Is_Under_30	,Age_Group; Is_Adult
Unlimited Data,"A binary indicator showing whether a customer has subscribed to unlimited data usage plans.","This type represents subscription status for unlimited data services using binary values. Values indicate whether customers have opted for unrestricted data usage plans without monthly data caps or limitations.","This type represents subscription status for unlimited data services using binary values. Values indicate whether customers have opted for unrestricted data usage plans without monthly data caps or limitations.","This type contains binary values following the pattern ^[01]$ indicating unlimited data plan subscription status. The pattern matches single digits representing unrestricted data service enrollment decisions.","data plan: unlimited usage subscription indicator",0; 1,-1; 2; Yes,Unlimited_Data; Has_Unlimited_Data	,Data_Plan_Type; Data_Limit
