Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
CHECKDIGIT.SEDOL,"A seven-character alphanumeric code used to identify securities traded on the London Stock Exchange and other UK financial markets.","This security identifier consists of six alphanumeric characters followed by a single check digit calculated for validation purposes. The code uses uppercase letters and numbers with no spaces, hyphens, or other punctuation marks.","This security identifier consists of six alphanumeric characters followed by a single check digit calculated for validation purposes. The code uses uppercase letters and numbers with no spaces, hyphens, or other punctuation marks.","An alphanumeric string following the pattern ^[0-9A-Z]{6}\d$ with six characters (letters/numbers) plus one numeric validation digit.","UK Security Code: seven-character London exchange identifier","UK Security Code: seven-character London exchange identifier",0263494; B1YW440; 2588173,AAPL; 12345678; LON:0263494,SEDOL; SEDOL Code; UK Security ID,Company Name; Stock Price; Exchange
CHECKDIGIT.UPC,"A twelve-digit barcode identifier used primarily in North American retail for product identification and inventory management systems.","This barcode consists of exactly twelve numeric digits including a calculated check digit for error detection and scanning validation. The identifier contains only numbers with no letters, spaces, hyphens, or other formatting characters.","This barcode consists of exactly twelve numeric digits including a calculated check digit for error detection and scanning validation. The identifier contains only numbers with no letters, spaces, hyphens, or other formatting characters.","A numeric string matching the pattern ^\d{12}$ consisting of exactly twelve consecutive digits with an embedded checksum algorithm.","Product Code: twelve-digit North American barcode","Product Code: twelve-digit North American barcode",012345678905; 036000291452; 885909950805,1234567890; UPC123456789012; Barcode123,UPC; Barcode; UPC Code,Product Name; Price; Brand
CITY,"The name of an incorporated city, town, or urban municipality as recognized by local government authorities.","This represents the official name of a populated place with municipal status, typically containing multiple words and proper capitalization. The name may include directional indicators, geographic descriptors, or historical references but excludes abbreviations or postal codes.","This represents the official name of a populated place with municipal status, typically containing multiple words and proper capitalization. The name may include directional indicators, geographic descriptors, or historical references but excludes abbreviations or postal codes.","A text string containing letters, spaces, and occasional punctuation marks representing proper nouns for municipal locations.","Location Name: municipal area designation","Location Name: municipal area designation",New York; London; Tokyo,NY; 10001; United States,City; Town; Location,Country; State; ZIP Code
COLOR.HEX,"A hexadecimal color code used in web design and digital graphics to represent precise color values in RGB format.","This color representation begins with a hash symbol followed by exactly six hexadecimal characters representing red, green, and blue color intensities. The code uses digits 0-9 and uppercase letters A-F with no spaces or additional formatting.","This color representation begins with a hash symbol followed by exactly six hexadecimal characters representing red, green, and blue color intensities. The code uses digits 0-9 and uppercase letters A-F with no spaces or additional formatting.","A string matching the pattern ^#[0-9A-F]{6}$ consisting of a hash prefix followed by six hexadecimal digits for RGB values.","Color Value: hexadecimal RGB representation","Color Value: hexadecimal RGB representation",#FF0000; #00FF00; #0000FF,"red; 255,0,0; Color123",Color Code; Hex Color; Color Value,Color Name; RGB Values; Brand Color
COLOR.TEXT_EN,"The common English name for a color as used in everyday language and design applications.","This represents standard color terminology using common English words that describe visual appearance and hue characteristics. The names are typically lowercase single words or simple compound terms without numeric values or technical specifications.","This represents standard color terminology using common English words that describe visual appearance and hue characteristics. The names are typically lowercase single words or simple compound terms without numeric values or technical specifications.","A text string matching basic color vocabulary patterns in English, typically following the pattern ^[a-z]+$ for simple colors.","Color Name: descriptive hue terminology","Color Name: descriptive hue terminology",red; blue; green,#FF0000; 255; color,Color; Color Name; Primary Color,Color Code; Hex Value; RGB
COLOR.TEXT_ES,"The common Spanish name for a color as used in everyday language and Spanish-speaking design contexts.","This represents standard color terminology using common Spanish words that describe visual appearance and hue characteristics. The names are typically lowercase single words following Spanish linguistic patterns without numeric values or technical specifications.","This represents standard color terminology using common Spanish words that describe visual appearance and hue characteristics. The names are typically lowercase single words following Spanish linguistic patterns without numeric values or technical specifications.","A text string matching basic Spanish color vocabulary patterns, typically following the pattern ^[a-z]+$ with Spanish phonetic structure.","Nombre de Color: terminología descriptiva de tonos","Nombre de Color: terminología descriptiva de tonos",rojo; azul; verde,red; #FF0000; color,Color; Nombre del Color; Color Primario,Código de Color; Valor Hexadecimal; RGB
COLOR.TEXT_NL,"The common Dutch name for a color as used in everyday language and Dutch-speaking design contexts.","This represents standard color terminology using common Dutch words that describe visual appearance and hue characteristics. The names are typically lowercase single words following Dutch linguistic patterns without numeric values or technical specifications.","This represents standard color terminology using common Dutch words that describe visual appearance and hue characteristics. The names are typically lowercase single words following Dutch linguistic patterns without numeric values or technical specifications.","A text string matching basic Dutch color vocabulary patterns, typically following the pattern ^[a-z]+$ with Dutch phonetic structure.","Kleurnaam: beschrijvende tintterminologie","Kleurnaam: beschrijvende tintterminologie",rood; blauw; groen,red; #FF0000; kleur,Kleur; Kleurnaam; Primaire Kleur,Kleurcode; Hex Waarde; RGB
COMPANY_NAME,"The official legal name of a business entity or organization as registered with government authorities and used in formal documentation.","This represents the complete corporate name including any legal suffixes such as Corporation, Inc., LLC, or Ltd. The name typically includes proper capitalization and may contain multiple words, punctuation, and legal designations but excludes stock symbols or abbreviations.","This represents the complete corporate name including any legal suffixes such as Corporation, Inc., LLC, or Ltd. The name typically includes proper capitalization and may contain multiple words, punctuation, and legal designations but excludes stock symbols or abbreviations.","A text string containing letters, spaces, and punctuation marks representing proper corporate names with legal entity suffixes.","Business Name: registered corporate entity designation","Business Name: registered corporate entity designation",Microsoft Corporation; Apple Inc.; Google LLC,MSFT; Tech Company; 123 Corp,Company Name; Organization; Corporation,Stock Symbol; Industry; Employee Count
CONTINENT.CODE_EN,"A two-character abbreviation representing one of the seven major continental landmasses used in geographic classification systems.","This code consists of exactly two uppercase alphabetic characters that serve as a standardized abbreviation for continental regions. The abbreviation uses common English-language continent name initials with no numbers, spaces, or punctuation marks.","This code consists of exactly two uppercase alphabetic characters that serve as a standardized abbreviation for continental regions. The abbreviation uses common English-language continent name initials with no numbers, spaces, or punctuation marks.","A string matching the pattern ^[A-Z]{2}$ consisting of exactly two consecutive uppercase letters representing continental abbreviations.","Regional Code: two-letter continental abbreviation","Regional Code: two-letter continental abbreviation",NA; EU; AS,North America; Europe; 123,Continent Code; Continent Abbr; Region Code,Continent Name; Country; Location
CONTINENT.TEXT_EN,"The full English name of one of the major continental landmasses as recognized in standard geographic classification systems.","This represents the complete name of a continental region using proper English terminology and capitalization. The name consists of one or more words identifying major landmasses without abbreviations, codes, or country-specific references.","This represents the complete name of a continental region using proper English terminology and capitalization. The name consists of one or more words identifying major landmasses without abbreviations, codes, or country-specific references.","A text string containing letters and spaces representing proper names of continental regions in English.","Continental Region: major landmass designation","Continental Region: major landmass designation",North America; Europe; Asia,NA; EU; Country123,Continent; Continent Name; Continental Region,Country; City; Continent Code
COORDINATE.EASTING,"An X-coordinate value in a projected coordinate system that measures eastward distance from a defined origin point, typically expressed in meters.","This coordinate represents the horizontal position in a map projection measured as distance east from a central meridian or grid origin. The value is typically a decimal number expressed in linear units like meters with positive values indicating eastward direction.","This coordinate represents the horizontal position in a map projection measured as distance east from a central meridian or grid origin. The value is typically a decimal number expressed in linear units like meters with positive values indicating eastward direction.","A numeric value matching the pattern ^-?\d+(\.\d+)?$ representing distance measurements in projected coordinate systems.","X Coordinate: eastward distance measurement","X Coordinate: eastward distance measurement",583496.5; 400000.0; 299999.9,-74.006; 40.7128; New York,Easting; X Coordinate; Easting Value,Longitude; Latitude; Address
COORDINATE.LATITUDE_DECIMAL,"A geographic coordinate that specifies the north-south position of a point on Earth's surface expressed as decimal degrees from the equator.","This coordinate represents angular distance north or south of the equatorial plane using decimal notation ranging from -90 to +90 degrees. Positive values indicate northern hemisphere locations while negative values represent southern hemisphere positions.","This coordinate represents angular distance north or south of the equatorial plane using decimal notation ranging from -90 to +90 degrees. Positive values indicate northern hemisphere locations while negative values represent southern hemisphere positions.","A numeric value matching the pattern ^-?[0-8]?\d(\.\d+)?$|^-?90(\.0+)?$ representing latitude coordinates in decimal degrees.","Geographic Latitude: north-south decimal position","Geographic Latitude: north-south decimal position",40.7128; -34.6037; 35.6762,"40°42'46""N; 180.0; New York",Latitude; Lat; Y Coordinate,Longitude; Address; City
COORDINATE.LATITUDE_DMS,"A geographic coordinate that specifies north-south position using traditional degrees, minutes, and seconds notation with cardinal direction indicators.","This coordinate format expresses angular distance from the equator using whole degrees, minutes (0-59), and seconds (0-59) followed by N for north or S for south. The format uses degree symbols, apostrophes for minutes, quotation marks for seconds, and directional letters.","This coordinate format expresses angular distance from the equator using whole degrees, minutes (0-59), and seconds (0-59) followed by N for north or S for south. The format uses degree symbols, apostrophes for minutes, quotation marks for seconds, and directional letters.","A string matching the pattern ^\d{1,2}°\d{1,2}'\d{1,2}[NS]$ with degrees, minutes, seconds, and cardinal direction indicators.","Latitude DMS: traditional degree-minute-second coordinates","Latitude DMS: traditional degree-minute-second coordinates","40°42'46""N; 34°36'14""S; 35°40'34""N",40.7128; -34.6037; North,Latitude DMS; Lat Degrees; Latitude Coords,Longitude; Decimal Latitude; Location
COORDINATE.LONGITUDE_DECIMAL,"A geographic coordinate that specifies the east-west position of a point on Earth's surface expressed as decimal degrees from the prime meridian.","This coordinate represents angular distance east or west of the Greenwich meridian using decimal notation ranging from -180 to +180 degrees. Positive values indicate eastern hemisphere locations while negative values represent western hemisphere positions.","This coordinate represents angular distance east or west of the Greenwich meridian using decimal notation ranging from -180 to +180 degrees. Positive values indicate eastern hemisphere locations while negative values represent western hemisphere positions.","A numeric value matching the pattern ^-?1[0-7]\d(\.\d+)?$|^-?180(\.0+)?$|^-?\d{1,2}(\.\d+)?$ representing longitude coordinates in decimal degrees.","Geographic Longitude: east-west decimal position","Geographic Longitude: east-west decimal position",-74.0060; 151.2093; 139.6503,"74°00'22""W; 200.0; East",Longitude; Long; X Coordinate,Latitude; Address; City
COORDINATE.LONGITUDE_DMS,"A geographic coordinate that specifies east-west position using traditional degrees, minutes, and seconds notation with cardinal direction indicators.","This coordinate format expresses angular distance from the prime meridian using whole degrees, minutes (0-59), and seconds (0-59) followed by E for east or W for west. The format uses degree symbols, apostrophes for minutes, quotation marks for seconds, and directional letters.","This coordinate format expresses angular distance from the prime meridian using whole degrees, minutes (0-59), and seconds (0-59) followed by E for east or W for west. The format uses degree symbols, apostrophes for minutes, quotation marks for seconds, and directional letters.","A string matching the pattern ^1?\d{1,2}°\d{1,2}'\d{1,2}[EW]$ with degrees, minutes, seconds, and cardinal direction indicators.","Longitude DMS: traditional degree-minute-second coordinates","Longitude DMS: traditional degree-minute-second coordinates","74°00'22""W; 151°12'33""E; 139°39'01""E",-74.0060; 151.2093; West,Longitude DMS; Long Degrees; Longitude Coords,Latitude; Decimal Longitude; Location
COORDINATE.NORTHING,"A Y-coordinate value in a projected coordinate system that measures northward distance from a defined origin point, typically expressed in meters.","This coordinate represents the vertical position in a map projection measured as distance north from a baseline or grid origin. The value is typically a decimal number expressed in linear units like meters with positive values indicating northward direction.","This coordinate represents the vertical position in a map projection measured as distance north from a baseline or grid origin. The value is typically a decimal number expressed in linear units like meters with positive values indicating northward direction.","A numeric value matching the pattern ^-?\d+(\.\d+)?$ representing distance measurements in projected coordinate systems.","Y Coordinate: northward distance measurement","Y Coordinate: northward distance measurement",4507897.2; 5000000.0; 1000000.5,40.7128; -74.006; North,Northing; Y Coordinate; Northing Value,Latitude; Longitude; Address
COORDINATE_PAIR.DECIMAL,"A combined latitude and longitude coordinate pair expressed in decimal degrees format separated by a comma for precise geographic positioning.","This coordinate pair consists of two decimal numbers separated by a comma and optional space, representing latitude first followed by longitude. The format follows standard GPS conventions with positive values for north/east and negative values for south/west hemispheres.","This coordinate pair consists of two decimal numbers separated by a comma and optional space, representing latitude first followed by longitude. The format follows standard GPS conventions with positive values for north/east and negative values for south/west hemispheres.","A string matching the pattern ^-?\d{1,2}(\.\d+)?,\s*-?1?\d{1,2}(\.\d+)?$ with latitude and longitude separated by comma.","GPS Position: comma-separated latitude-longitude pair","GPS Position: comma-separated latitude-longitude pair","40.7128, -74.0060; 51.5074, -0.1278; 35.6762, 139.6503","40.7128; -74.0060; 40°42'N, 74°00'W",Coordinates; Lat Long; GPS Coordinates,Latitude; Longitude; Address
COORDINATE_PAIR.DECIMAL_PAREN,"A combined latitude and longitude coordinate pair expressed in decimal degrees format enclosed in parentheses for precise geographic positioning.","This coordinate pair consists of two decimal numbers separated by a comma and enclosed in parentheses, representing latitude first followed by longitude. The format follows mathematical conventions with positive values for north/east and negative values for south/west hemispheres.","This coordinate pair consists of two decimal numbers separated by a comma and enclosed in parentheses, representing latitude first followed by longitude. The format follows mathematical conventions with positive values for north/east and negative values for south/west hemispheres.","A string matching the pattern ^\(-?\d{1,2}(\.\d+)?,\s*-?1?\d{1,2}(\.\d+)?\)$ with parentheses around latitude-longitude pair.","Location Coords: parenthesized coordinate pair","Location Coords: parenthesized coordinate pair","(40.7128, -74.0060); (51.5074, -0.1278); (35.6762, 139.6503)","40.7128, -74.0060; [40.7128, -74.0060]; 40.7128",GPS Position; Location Coords; Coordinates,Latitude; Longitude; Street Address
COUNTRY.ISO-3166-2,"A two-letter country code assigned by the International Organization for Standardization to uniquely identify nations and territories worldwide.","This code consists of exactly two uppercase alphabetic characters that serve as the internationally recognized standard for country identification. The code follows ISO 3166-1 alpha-2 specifications and contains no numbers, spaces, or punctuation marks.","This code consists of exactly two uppercase alphabetic characters that serve as the internationally recognized standard for country identification. The code follows ISO 3166-1 alpha-2 specifications and contains no numbers, spaces, or punctuation marks.","A string matching the pattern ^[A-Z]{2}$ consisting of exactly two consecutive uppercase letters for international country identification.","Nation Code: two-letter international identifier","Nation Code: two-letter international identifier",US; GB; JP,USA; United States; 123,Country Code; ISO Country; Country,Country Name; State; Language
COUNTRY.ISO-3166-3,"A three-letter country code assigned by the International Organization for Standardization to uniquely identify nations and territories worldwide.","This code consists of exactly three uppercase alphabetic characters that serve as the internationally recognized standard for country identification. The code follows ISO 3166-1 alpha-3 specifications and contains no numbers, spaces, or punctuation marks.","This code consists of exactly three uppercase alphabetic characters that serve as the internationally recognized standard for country identification. The code follows ISO 3166-1 alpha-3 specifications and contains no numbers, spaces, or punctuation marks.","A string matching the pattern ^[A-Z]{3}$ consisting of exactly three consecutive uppercase letters for international country identification.","Nation Code: three-letter international identifier","Nation Code: three-letter international identifier",USA; GBR; JPN,US; United States; 123,Country Code; ISO3 Country; Three Letter Country,Country Name; Two Letter Code; Continent
COUNTRY.TEXT_DE,"The full German name for a country or nation as used in German-language contexts and official documentation.","This represents the complete country name using proper German terminology, capitalization, and linguistic conventions. The name may include multiple words and German-specific characters but excludes abbreviations, codes, or non-German translations.","This represents the complete country name using proper German terminology, capitalization, and linguistic conventions. The name may include multiple words and German-specific characters but excludes abbreviations, codes, or non-German translations.","A text string containing German letters, spaces, and diacritical marks representing proper country names in German language.","Ländername: deutsche Nationalbezeichnung","Ländername: deutsche Nationalbezeichnung",Deutschland; Vereinigtes Königreich; Japan,Germany; DE; Country,Land; Staat; Länder,Ländercode; Stadt; Sprache
COUNTRY.TEXT_EN,"The full English name for a country or nation as used in English-language contexts and international communication.","This represents the complete country name using proper English terminology and capitalization conventions. The name may include multiple words and follows standard English linguistic patterns but excludes abbreviations, codes, or non-English translations.","This represents the complete country name using proper English terminology and capitalization conventions. The name may include multiple words and follows standard English linguistic patterns but excludes abbreviations, codes, or non-English translations.","A text string containing English letters and spaces representing proper country names in English language.","Nation Name: English country designation","Nation Name: English country designation",United States; United Kingdom; Japan,US; GB; Country123,Country; Country Name; Nation,Country Code; State; City
COUNTRY.TEXT_ES,"The full Spanish name for a country or nation as used in Spanish-language contexts and official documentation.","This type captures complete country names as they are expressed in Spanish language for identification and documentation purposes. The values represent standard Spanish nationality terminology following proper Spanish linguistic conventions without abbreviations or alternative language forms.","This type captures complete country names as they are expressed in Spanish language for identification and documentation purposes. The values represent standard Spanish nationality terminology following proper Spanish linguistic conventions without abbreviations or alternative language forms.","A text field containing Spanish country names that follow proper Spanish linguistic patterns and use appropriate capitalization. The format consists of alphabetic characters representing established country designations as commonly used in Spanish-speaking contexts and official documentation.","nombre_país: designación nacional en idioma español","nombre_país: designación nacional en idioma español",Estados Unidos; Reino Unido; Japón,United States; US; País,País; Nombre del País; Nación,Código del País; Estado; Ciudad
COUNTRY.TEXT_NL,"The full Dutch name for a country or nation as used in Dutch-language contexts and official documentation.","This type captures complete country names as they are expressed in Dutch language for identification and documentation purposes. The values represent standard Dutch nationality terminology following proper Dutch linguistic conventions without abbreviations or alternative language forms.","This type captures complete country names as they are expressed in Dutch language for identification and documentation purposes. The values represent standard Dutch nationality terminology following proper Dutch linguistic conventions without abbreviations or alternative language forms.","A text field containing Dutch country names that follow proper Dutch linguistic patterns and use appropriate capitalization. The format consists of alphabetic characters representing established country designations as commonly used in Dutch-speaking contexts and official documentation.","landnaam: nationale aanduiding in Nederlandse taal","landnaam: nationale aanduiding in Nederlandse taal",Verenigde Staten; Verenigd Koninkrijk; Japan,United States; US; Land,Land; Landnaam; Natie,Landcode; Provincie; Stad
CREDIT_CARD_TYPE,"The brand or network name of a credit card issuer used to identify the payment processing network and card features.","This type identifies the specific credit card brand or network associated with payment cards used in financial transactions. The values represent major card issuers and payment networks using their standard commercial names without abbreviations or account-specific information.","This type identifies the specific credit card brand or network associated with payment cards used in financial transactions. The values represent major card issuers and payment networks using their standard commercial names without abbreviations or account-specific information.","A text field containing credit card brand names that follow standard payment industry terminology and proper capitalization. The format consists of alphabetic characters representing established payment network names as commonly recognized in commercial transactions.","card_brand: payment network identification","card_brand: payment network identification",Visa; Mastercard; American Express,4111111111111111; Credit; Card123,Card Type; Credit Card Type; Card Brand,Card Number; Cardholder Name; Expiration Date
CRYPTOCURRENCY.TEXT_EN,"The full name of a digital cryptocurrency as used in trading platforms and financial applications.","This type captures the complete names of digital currencies used in blockchain-based financial systems and cryptocurrency trading. The values represent established cryptocurrency names using proper capitalization and standard terminology without symbols, abbreviations, or ticker codes.","This type captures the complete names of digital currencies used in blockchain-based financial systems and cryptocurrency trading. The values represent established cryptocurrency names using proper capitalization and standard terminology without symbols, abbreviations, or ticker codes.","A text field containing cryptocurrency names that follow standard digital currency naming conventions and proper capitalization. The format consists of alphabetic characters representing established digital currencies as commonly recognized in financial and trading contexts.","digital_currency: blockchain-based asset name","digital_currency: blockchain-based asset name",Bitcoin; Ethereum; Litecoin,BTC; ETH; Currency123,Cryptocurrency; Crypto Name; Digital Currency,Crypto Symbol; Price; Wallet Address
CURRENCY.TEXT_EN,"The full English name of a national or international currency used in financial transactions and monetary systems.","This type captures the complete names of currencies as they are expressed in English for international financial and economic contexts. The values represent standard currency terminology using proper English names without codes, symbols, or abbreviated forms.","This type captures the complete names of currencies as they are expressed in English for international financial and economic contexts. The values represent standard currency terminology using proper English names without codes, symbols, or abbreviated forms.","A text field containing currency names that follow standard English financial terminology and proper capitalization. The format consists of alphabetic characters representing established monetary units as commonly used in international commerce and finance.","monetary_unit: English currency designation","monetary_unit: English currency designation",US Dollar; British Pound; Japanese Yen,USD; GBP; Money123,Currency; Currency Name; Money,Currency Code; Exchange Rate; Country
CURRENCY_CODE.ISO-4217,"A three-letter currency code assigned by ISO to uniquely identify currencies used in international financial transactions.","This type represents standardized currency codes established by the International Organization for Standardization for global financial systems. The codes consist of exactly three uppercase alphabetic characters that uniquely identify national and international currencies without spaces or punctuation.","This type represents standardized currency codes established by the International Organization for Standardization for global financial systems. The codes consist of exactly three uppercase alphabetic characters that uniquely identify national and international currencies without spaces or punctuation.","A text field containing currency codes that follow the pattern ^[A-Z]{3}$ consisting of exactly three consecutive uppercase letters. The format represents internationally standardized currency identification as mandated by ISO 4217 specifications for financial transactions.","currency_code: three-letter ISO monetary identifier","currency_code: three-letter ISO monetary identifier",USD; EUR; JPY,US Dollar; Euro; 123,Currency Code; ISO Currency; Currency Symbol,Currency Name; Exchange Rate; Country
