Type,Generation Description 1,Generation Description 2,Generation Description 3,Generation Description 4,Generation Description 5,Generation Description 6,Positive Value Examples,Negative Value Examples,Positive Header Examples,Negative Header Examples
Cost_claims_year,"The total monetary value of insurance claims paid out for a specific policy during the current year.","This type records the cumulative claim expenses incurred by the insurance company for a particular policy within the current calendar or policy year. The amount includes all settled claims and represents the actual financial impact on the insurer's reserves.","This type records the cumulative claim expenses incurred by the insurance company for a particular policy within the current calendar or policy year. The amount includes all settled claims and represents the actual financial impact on the insurer's reserves.","A non-negative numeric value matching ^\d+(\.\d+)?$ representing the total claims cost in base currency for the year.","annual_claim_expense: yearly payout total","annual_claim_expense: yearly payout total",124.2; 0; 12421,-1; -124; Day ,claims_cost_current_year ; total_claims_amount,claims_count ; year_to_date
N_claims_year,"The count of insurance claims filed or processed for a specific policy during the current year.","This type tracks the number of individual claim incidents associated with a policy within the current calendar or policy year period. The count includes all claim types regardless of their settlement status or monetary value.","This type tracks the number of individual claim incidents associated with a policy within the current calendar or policy year period. The count includes all claim types regardless of their settlement status or monetary value.","A non-negative integer conforming to ^[0-9]\d*$ representing the total number of claims filed this year.","current_year_incidents: claims filed this year","current_year_incidents: claims filed this year",1; 0; 4 ,-1; 4.5; 40,claims_count_current_year ; n_claims_year,claims_amount ; total_claims
N_claims_history,"The total number of insurance claims filed by a customer across their entire relationship history with the company.","This type maintains a cumulative count of all claim incidents associated with a customer throughout their complete tenure with the insurance provider. The value includes claims from all policies and time periods for risk assessment and pricing purposes.","This type maintains a cumulative count of all claim incidents associated with a customer throughout their complete tenure with the insurance provider. The value includes claims from all policies and time periods for risk assessment and pricing purposes.","A non-negative integer matching ^[0-9]\d*$ representing the lifetime total of claims filed by this customer.","lifetime_claim_count: total claims ever filed","lifetime_claim_count: total claims ever filed",1; 0; 4 ,-1; 4.5; 40,total_claims_count ; claims_history_count,claims_frequency ; claims_ratio
R_Claims_history,"A ratio measuring the frequency of claims relative to the length of time a customer has held policies.","This type calculates the claims frequency rate by dividing the total number of historical claims by the duration of the customer relationship. The metric provides insight into the customer's risk profile and claim propensity over their entire tenure.","This type calculates the claims frequency rate by dividing the total number of historical claims by the duration of the customer relationship. The metric provides insight into the customer's risk profile and claim propensity over their entire tenure.","A decimal value matching ^\d+(\.\d+)?$ representing the calculated ratio of claims per time period for historical analysis.","claim_frequency_rate: claims per year average","claim_frequency_rate: claims per year average",124.2; 0; 12421,-1; -124; Day ,claims_per_year_ratio ; claims_frequency_ratio,claims_count ; policy_duration
Type_risk,"A coded classification system that categorizes the insurance risk level associated with a particular policy or customer.","This type assigns a numeric risk category to classify the potential exposure and likelihood of claims for underwriting purposes. The classification system uses predefined codes to represent different risk levels from low to high exposure categories.","This type assigns a numeric risk category to classify the potential exposure and likelihood of claims for underwriting purposes. The classification system uses predefined codes to represent different risk levels from low to high exposure categories.","An integer value following the pattern ^[1-4]$ representing discrete risk classification levels within the company's rating system.","risk_category: level of insurance exposure","risk_category: level of insurance exposure",1; 2; 3; 4 ,-1; 5; None ,risk_type_code ; vehicle_risk_category,risk_score ; insurance_type
Area,"A geographic classification code indicating the type of area where the insured vehicle is primarily located or garaged.","This type categorizes the geographic location of the insured property using a binary classification system for risk assessment. The codes distinguish between different area types such as urban versus rural or high-risk versus low-risk geographic zones.","This type categorizes the geographic location of the insured property using a binary classification system for risk assessment. The codes distinguish between different area types such as urban versus rural or high-risk versus low-risk geographic zones.","A binary integer matching ^[01]$ where each value represents a specific geographic area classification for rating purposes.","location_type: urban or rural classification","location_type: urban or rural classification",0; 1,-1; 2; None ,area_type ; location_classification,area_code ; region_name
Second_driver,"A binary flag indicating whether additional drivers beyond the primary policyholder are covered under the insurance policy.","This type identifies policies that include coverage for multiple drivers using a simple binary indicator system. The flag helps determine premium calculations and coverage scope by indicating the presence of secondary or additional insured drivers.","This type identifies policies that include coverage for multiple drivers using a simple binary indicator system. The flag helps determine premium calculations and coverage scope by indicating the presence of secondary or additional insured drivers.","A binary value conforming to ^[01]$ where the flag indicates whether multiple drivers are covered under the policy.","additional_driver_flag: multiple drivers covered","additional_driver_flag: multiple drivers covered",0; 1,-1; 2; None ,multiple_driver_flag ; has_additional_driver,driver_count ; driver_age
Year_matriculation,"The calendar year when the insured vehicle was first registered or received its initial license plates from authorities.","This type records the original registration year of the vehicle being insured as a four-digit calendar year. The information is crucial for determining vehicle age, depreciation calculations, and appropriate coverage levels for underwriting purposes.","This type records the original registration year of the vehicle being insured as a four-digit calendar year. The information is crucial for determining vehicle age, depreciation calculations, and appropriate coverage levels for underwriting purposes.","A four-digit integer following the pattern ^\d{4}$ representing a valid calendar year when the vehicle was registered.","vehicle_reg_year: when car was first registered","vehicle_reg_year: when car was first registered",1456; 2021; 2025 ,12.3; TwentyTwo; Monday ,registration_year ; vehicle_year,model_year ; registration_number
Power,"The engine power output of the insured vehicle measured in horsepower or equivalent power units.","This type captures the mechanical power rating of the vehicle's engine as a numeric value for risk assessment purposes. The measurement helps determine insurance rates by indicating the vehicle's performance capability and potential risk exposure.","This type captures the mechanical power rating of the vehicle's engine as a numeric value for risk assessment purposes. The measurement helps determine insurance rates by indicating the vehicle's performance capability and potential risk exposure.","A positive integer matching ^[1-9]\d*$ representing the engine power output in horsepower or similar units.","engine_horsepower: vehicle power output rating","engine_horsepower: vehicle power output rating",10; 80; 200 ,-1; 5.0; Two,engine_power_hp ; power_output,engine_size ; kilowatts
Cylinder_capacity,"The total displacement volume of the vehicle's engine cylinders measured in cubic centimeters or equivalent units.","This type records the engine displacement capacity as a numeric measurement representing the total volume of all engine cylinders. The value is essential for insurance classification and rating calculations based on engine size and performance characteristics.","This type records the engine displacement capacity as a numeric measurement representing the total volume of all engine cylinders. The value is essential for insurance classification and rating calculations based on engine size and performance characteristics.","A positive integer following ^[1-9]\d*$ representing the total engine displacement in cubic centimeters.","engine_displacement: total cylinder volume","engine_displacement: total cylinder volume",1345; 232; 224,-1; 5.0; Two,cylinder_capacity_cc ; engine_displacement,power_output ; capacity
Value_vehicle,"The current market value or replacement cost of the insured vehicle used for coverage limits and premium calculations.","This type represents the monetary worth of the vehicle as determined by market valuation methods at a specific point in time. The value is critical for establishing coverage amounts, deductibles, and determining total loss thresholds for claims processing.","This type represents the monetary worth of the vehicle as determined by market valuation methods at a specific point in time. The value is critical for establishing coverage amounts, deductibles, and determining total loss thresholds for claims processing.","A numeric value matching ^\d+(\.\d+)?$ representing the vehicle's monetary value in the policy's base currency.","car_market_value: current worth of vehicle","car_market_value: current worth of vehicle",124.2; 10; 12421,-1; -124; Day ,market_value_2019 ; vehicle_value,purchase_price ; current_market_value
N_doors,"The count of passenger doors on the insured vehicle, excluding the trunk or hatchback opening.","This type records the number of entry doors available for passengers in the vehicle as an integer count. The information contributes to vehicle classification and helps determine appropriate insurance categories and risk factors.","This type records the number of entry doors available for passengers in the vehicle as an integer count. The information contributes to vehicle classification and helps determine appropriate insurance categories and risk factors.","A non-negative integer conforming to ^[0-9]\d*$ representing the total count of passenger access doors.","door_count: number of vehicle doors","door_count: number of vehicle doors",0; 2; 6 ,-1; -124; None ,number_of_doors ; doors_count,seat_count ; door_type
Type_fuel,"A coded identifier specifying the primary fuel type used by the insured vehicle's engine system.","This type categorizes the vehicle's fuel system using standardized letter codes to distinguish between different energy sources. The classification affects risk assessment and environmental considerations for insurance rating purposes.","This type categorizes the vehicle's fuel system using standardized letter codes to distinguish between different energy sources. The classification affects risk assessment and environmental considerations for insurance rating purposes.","A single uppercase letter matching ^[A-Z]$ representing specific fuel types such as petrol, diesel, or alternative energy sources.","fuel_category: petrol, diesel, or other","fuel_category: petrol, diesel, or other",P; D,12.3; TwentyTwo; Monday ,fuel_type ; energy_type,fuel_consumption ; fuel_efficiency
Length,"The overall length dimension of the insured vehicle measured from front to rear in standard units.","This type captures the vehicle's longitudinal measurement as a numeric value representing the total length specification. The dimension is used for classification purposes and may influence parking, storage, and operational risk assessments.","This type captures the vehicle's longitudinal measurement as a numeric value representing the total length specification. The dimension is used for classification purposes and may influence parking, storage, and operational risk assessments.","A numeric value following ^\d+(\.\d+)?$ representing the vehicle length in meters or equivalent measurement units.","vehicle_size: overall length measurement","vehicle_size: overall length measurement",1242; 24.4; NA,-1; TwentyTwo; Monday ,vehicle_length_m ; length_meters,width_meters ; height_meters
Weight,"The total mass of the insured vehicle including its basic equipment measured in standard weight units.","This type records the vehicle's weight specification as a numeric measurement representing the total mass for classification and rating purposes. The weight factor influences risk calculations related to potential damage severity and handling characteristics.","This type records the vehicle's weight specification as a numeric measurement representing the total mass for classification and rating purposes. The weight factor influences risk calculations related to potential damage severity and handling characteristics.","A numeric value matching ^\d+(\.\d+)?$ representing the total vehicle mass in kilograms or equivalent weight units.","vehicle_mass: total weight specification","vehicle_mass: total weight specification",1242; 24.4; 2,-1; TwentyTwo; None ,vehicle_weight_kg ; weight_kg,payload_weight ; empty_weight
